,file_name,game_age,game_cat,game_fans,game_players,game_time,game_weight
0,html_files_games\_boardgame_100089_inspector-moss-house-arrest.html,Age: 10+,,21,1 Players,30 Min,1.85 / 5
1,html_files_games\_boardgame_100104_rush-hour-scramble.html,Age: 8+,,2,2–4 Players,20 Min,1.67 / 5
2,html_files_games\_boardgame_100169_hero-weehawken.html,Age: 13+,"Rank: Overall 3,997 Thematic 568",28,1 Players,45 Min,2.16 / 5
3,html_files_games\_boardgame_100172_seven-sisters.html,Age: 12+,"Rank: Overall 5,757 Thematic 723 Strategy 1,583",35,3–6 Players,60 Min,2.41 / 5
4,html_files_games\_boardgame_10022_la-revolution-francaise-la-patrie-en-danger-1790-1.html,Age: 10+,,11,4–6 Players,180 Min,3.60 / 5
5,html_files_games\_boardgame_1002_cosmic-eidex.html,Age: 10+,"Rank: Overall 2,819 Strategy 1,133",11,3 Players,60 Min,2.68 / 5
6,html_files_games\_boardgame_100423_elder-sign.html,Age: 13+,Rank: Overall 491 Thematic 160,"1,535",1–8 Players,90 Min,2.36 / 5
7,html_files_games\_boardgame_100473_string-railway-transport.html,Age: 10+,"Rank: Overall 5,567",4,2–5 Players,60 Min,1.83 / 5
8,html_files_games\_boardgame_100679_ultimate-warriorz.html,Age: 8+,"Rank: Overall 1,934 Party 100",30,2–8 Players,30 Min,1.31 / 5
9,html_files_games\_boardgame_100734_my-happy-farm.html,Age: 8+,"Rank: Overall 3,240 Family 868",27,2–4 Players,45 Min,1.68 / 5
10,html_files_games\_boardgame_100795_micro-monsters.html,Age: 6+,,3,2–4 Players,30 Min,1.00 / 5
11,html_files_games\_boardgame_10081_axis-allies-d-day.html,Age: 12+,"Rank: Overall 2,266 War 702",75,2–3 Players,120 Min,2.38 / 5
12,html_files_games\_boardgame_100901_flash-point-fire-rescue.html,Age: 10+,Rank: Overall 275 Thematic 93 Family 49,983,2–6 Players,45 Min,2.21 / 5
13,html_files_games\_boardgame_10093_axis-allies.html,Age: 12+,"Rank: Overall 1,154 War 418",184,2–5 Players,240 Min,3.21 / 5
14,html_files_games\_boardgame_101013_ninja-legend-scorpion-clan.html,Age: 12+,"Rank: Overall 3,178 Thematic 513 Strategy 1,266",83,2–4 Players,45 Min,2.65 / 5
15,html_files_games\_boardgame_101020_pax.html,Age: 10+,"Rank: Overall 2,184 Strategy 971",28,1–4 Players,30–45 Min,2.14 / 5
16,html_files_games\_boardgame_10102_ignorant-armies-iran-iraq-war.html,Age: 12+,,5,1–2 Players,240 Min,2.56 / 5
17,html_files_games\_boardgame_101118_borodino-napoleon-russia-1812.html,Age: ––,,8,2 Players,210 Min,2.22 / 5
18,html_files_games\_boardgame_101206_night-drop-6-june-44.html,Age: ––,,11,2 Players,180 Min,2.30 / 5
19,html_files_games\_boardgame_1013_energie-poker.html,Age: 10+,,1,2–4 Players,60 Min,2.67 / 5
20,html_files_games\_boardgame_10149_great-war-europe.html,Age: 12+,"Rank: Overall 5,915 War 962",9,2 Players,360 Min,3.77 / 5
21,html_files_games\_boardgame_1014_fief-2.html,Age: 10+,"Rank: Overall 5,414 Strategy 1,580",15,3–6 Players,120 Min,2.90 / 5
22,html_files_games\_boardgame_10156_russian-campaign-fourth-and-fifth-editions.html,Age: 12+,"Rank: Overall 2,978 War 242",31,2 Players,240 Min,2.95 / 5
23,html_files_games\_boardgame_101644_bushido.html,Age: ––,,39,2 Players,90 Min,3.38 / 5
24,html_files_games\_boardgame_10164_fliegen-klatschen.html,Age: 6+,"Rank: Overall 5,321 Children's 228 Party 303",2,2–8 Players,15 Min,1.05 / 5
25,html_files_games\_boardgame_10167_zombies-4-end.html,Age: 16+,"Rank: Overall 3,287 Thematic 580",53,2–6 Players,60–120 Min,1.67 / 5
26,html_files_games\_boardgame_101682_saints-armor.html,Age: 14+,"Rank: Overall 2,966 War 197",40,2 Players,300 Min,3.56 / 5
27,html_files_games\_boardgame_10168_citadel-battle-dien-bien-phu.html,Age: 12+,,10,1–2 Players,360 Min,3.10 / 5
28,html_files_games\_boardgame_101721_mage-wars-arena.html,Age: 13+,Rank: Overall 180 Customizable 11,"1,214",2 Players,90 Min,3.66 / 5
29,html_files_games\_boardgame_10174_bitter-woods-fourth-edition.html,Age: 12+,"Rank: Overall 2,775 War 218",28,2–4 Players,240 Min,3.14 / 5
30,html_files_games\_boardgame_101785_d-day-dice.html,Age: 14+,Rank: Overall 964 War 306 Thematic 232,325,1–4 Players,45 Min,2.06 / 5
31,html_files_games\_boardgame_101786_dust-tactics-revised-core-set.html,Age: 14+,"Rank: Overall 2,521 War 412",99,2–4 Players,45 Min,2.53 / 5
32,html_files_games\_boardgame_101796_sutakku.html,Age: 14+,"Rank: Overall 5,620 Party 315 Family 1,245",16,1–12 Players,15 Min,1.00 / 5
33,html_files_games\_boardgame_1017_fresh-fish.html,Age: 12+,"Rank: Overall 2,179 Strategy 984",10,2–5 Players,60 Min,3.05 / 5
34,html_files_games\_boardgame_10183_napoleon-leipzig.html,Age: 12+,"Rank: Overall 3,463 War 369",18,1–3 Players,60–300 Min,2.90 / 5
35,html_files_games\_boardgame_101865_saga.html,Age: ––,"Rank: Overall 2,582 War 224",85,2–4 Players,90–150 Min,2.35 / 5
36,html_files_games\_boardgame_10186_jena.html,Age: 12+,,8,2–3 Players,300 Min,2.84 / 5
37,html_files_games\_boardgame_101929_sergeants-miniatures-game-day-days.html,Age: 10+,"Rank: Overall 3,216 War 375",152,2–6 Players,60–180 Min,2.59 / 5
38,html_files_games\_boardgame_101930_carnival.html,Age: 13+,,45,2–4 Players,30 Min,1.52 / 5
39,html_files_games\_boardgame_101_detroit-cleveland-grand-prix.html,Age: 8+,"Rank: Overall 1,838 Family 468",9,2–6 Players,60 Min,1.70 / 5
40,html_files_games\_boardgame_10206_make-n-break.html,Age: 8+,"Rank: Overall 3,589 Party 247 Family 951",11,2–4 Players,30 Min,1.28 / 5
41,html_files_games\_boardgame_102104_star-fluxx.html,Age: 8+,"Rank: Overall 1,825 Party 210 Family 634",214,2–6 Players,10 Min,1.43 / 5
42,html_files_games\_boardgame_102107_race-adventure-spirit-century-exploration-game.html,Age: 8+,"Rank: Overall 5,932",46,2–5 Players,20 Min,1.50 / 5
43,html_files_games\_boardgame_102144_perplexus-epic.html,Age: 8+,"Rank: Overall 3,401",13,1 Players,30 Min,2.00 / 5
44,html_files_games\_boardgame_102148_noir-deductive-mystery-game.html,Age: 8+,"Rank: Overall 2,113 Thematic 404 Family 584",41,2–9 Players,5 Min,1.61 / 5
45,html_files_games\_boardgame_102151_colorado-midland.html,Age: 12+,,2,3–5 Players,45 Min,2.60 / 5
46,html_files_games\_boardgame_102159_champions-2020.html,Age: 11+,,12,2 Players,40–60 Min,2.13 / 5
47,html_files_games\_boardgame_102181_grove.html,Age: 9+,"Rank: Overall 3,573 Abstract 236 Party 211",23,3–4 Players,20 Min,1.51 / 5
48,html_files_games\_boardgame_102219_connect-4-launchers.html,Age: 5+,,2,2 Players,5–15 Min,1.00 / 5
49,html_files_games\_boardgame_102237_drako.html,Age: 8+,"Rank: Overall 1,535 Thematic 337",96,2 Players,30 Min,1.79 / 5
50,html_files_games\_boardgame_10226_thunder-crossroads-second-edition.html,Age: 12+,"Rank: Overall 3,798 War 367",14,2 Players,360 Min,3.43 / 5
51,html_files_games\_boardgame_102275_lord-rings-adventure-deck-game.html,Age: 6+,,34,1 Players,5 Min,1.68 / 5
52,html_files_games\_boardgame_10230_santa-maria-infante-road-rome-1944.html,Age: 12+,,1,2 Players,120 Min,4.20 / 5
53,html_files_games\_boardgame_10234_arriba-espana.html,Age: 12+,,10,2–4 Players,120 Min,2.79 / 5
54,html_files_games\_boardgame_102435_navajo-wars.html,Age: 12+,"Rank: Overall 1,272 War 63",151,1–2 Players,120 Min,3.84 / 5
55,html_files_games\_boardgame_10244_berlin-red-victory.html,Age: 12+,"Rank: Overall 6,428 War 888",11,2 Players,180 Min,4.07 / 5
56,html_files_games\_boardgame_10245_bloody-omaha-d-day-1944.html,Age: 12+,,10,2 Players,180 Min,4.64 / 5
57,html_files_games\_boardgame_10246_darkest-december-battle-bulge-1944.html,Age: 12+,,4,2 Players,180 Min,3.78 / 5
58,html_files_games\_boardgame_10248_panther-line-army-group-north-1944.html,Age: 12+,,4,2 Players,180 Min,3.63 / 5
59,html_files_games\_boardgame_102548_dungeon-fighter.html,Age: 14+,Rank: Overall 845 Party 63,214,1–6 Players,45 Min,1.76 / 5
60,html_files_games\_boardgame_102610_shitenno.html,Age: 12+,"Rank: Overall 3,299 Strategy 1,234",21,2–4 Players,60 Min,2.75 / 5
61,html_files_games\_boardgame_10262_chaco-war.html,Age: 12+,,7,2 Players,90 Min,2.71 / 5
62,html_files_games\_boardgame_102652_sentinels-multiverse.html,Age: 8+,Rank: Overall 308 Thematic 102,"1,391",2–5 Players,30–60 Min,2.50 / 5
63,html_files_games\_boardgame_102680_trajan.html,Age: 12+,Rank: Overall 72 Strategy 56,718,2–4 Players,60–120 Min,3.68 / 5
64,html_files_games\_boardgame_102681_21-mutinies-arrr-edition.html,Age: 10+,"Rank: Overall 4,959 Family 1,165",28,2–5 Players,45 Min,2.38 / 5
65,html_files_games\_boardgame_102690_villagers-villains.html,Age: 9+,"Rank: Overall 4,591 Family 1,097",24,2–5 Players,30 Min,1.80 / 5
66,html_files_games\_boardgame_10269_balkan-wars.html,Age: 12+,,13,2 Players,120 Min,2.95 / 5
67,html_files_games\_boardgame_10272_thirty-years-war-quad-second-edition.html,Age: 12+,"Rank: Overall 6,523 War 1,060",6,1–2 Players,180 Min,2.30 / 5
68,html_files_games\_boardgame_102794_caverna-cave-farmers.html,Age: 12+,Rank: Overall 22 Strategy 19,"1,573",1–7 Players,30–210 Min,3.79 / 5
69,html_files_games\_boardgame_102835_lost-temple.html,Age: 10+,"Rank: Overall 4,989 Family 1,166",30,2–8 Players,40 Min,1.73 / 5
70,html_files_games\_boardgame_102881_trench.html,Age: 10+,"Rank: Overall 6,310 Abstract 300",99,2 Players,45 Min,3.53 / 5
71,html_files_games\_boardgame_102897_farmageddon.html,Age: 14+,"Rank: Overall 3,863 Family 998",72,2–4 Players,30 Min,1.62 / 5
72,html_files_games\_boardgame_102898_sewer-pirats.html,Age: 10+,"Rank: Overall 2,432 Family 652",34,2–5 Players,30–60 Min,2.15 / 5
73,html_files_games\_boardgame_102_klunker.html,Age: 10+,"Rank: Overall 3,322 Strategy 1,272 Family 886",11,3–5 Players,30 Min,1.77 / 5
74,html_files_games\_boardgame_10300_group-soviet-forces-germany.html,Age: 12+,,7,1–2 Players,240 Min,2.54 / 5
75,html_files_games\_boardgame_103061_carnac.html,Age: 8+,"Rank: Overall 4,381 Abstract 156",26,2 Players,20 Min,2.38 / 5
76,html_files_games\_boardgame_103091_catan-histories-merchants-europe.html,Age: 12+,"Rank: Overall 3,075 Strategy 1,205 Family 802",17,3–4 Players,120 Min,2.41 / 5
77,html_files_games\_boardgame_103092_helvetia.html,Age: 12+,"Rank: Overall 1,081 Strategy 581",64,2–4 Players,90 Min,3.06 / 5
78,html_files_games\_boardgame_10310_warfare-age-reason.html,Age: 12+,,5,2–7 Players,180 Min,3.33 / 5
79,html_files_games\_boardgame_103132_rapa-nui.html,Age: 10+,"Rank: Overall 2,154 Strategy 959 Family 545",25,2–4 Players,40 Min,2.08 / 5
80,html_files_games\_boardgame_103184_gnomes-zavandor.html,Age: 10+,"Rank: Overall 3,659 Strategy 1,312",14,2–4 Players,60–90 Min,2.56 / 5
81,html_files_games\_boardgame_103185_walnut-grove.html,Age: 10+,"Rank: Overall 1,023 Strategy 556",71,1–4 Players,30–60 Min,2.46 / 5
82,html_files_games\_boardgame_103235_singapore.html,Age: 12+,"Rank: Overall 5,009",9,3–4 Players,90 Min,2.60 / 5
83,html_files_games\_boardgame_10323_saga.html,Age: 10+,"Rank: Overall 6,322",3,3–6 Players,60 Min,1.78 / 5
84,html_files_games\_boardgame_1032_b-17-queen-skies.html,Age: 12+,"Rank: Overall 1,304 War 254",270,1–2 Players,20 Min,2.35 / 5
85,html_files_games\_boardgame_103339_reluctant-enemies.html,Age: ––,"Rank: Overall 2,872 War 178",59,2 Players,750 Min,3.50 / 5
86,html_files_games\_boardgame_103343_game-thrones-board-game-second-edition.html,Age: 14+,Rank: Overall 94 Strategy 96,"2,307",3–6 Players,120–240 Min,3.69 / 5
87,html_files_games\_boardgame_103368_epigo.html,Age: 13+,"Rank: Overall 3,923 Abstract 162",20,2–4 Players,15 Min,2.50 / 5
88,html_files_games\_boardgame_103469_risk-metal-gear-solid.html,Age: 10+,"Rank: Overall 5,145 War 1,861 Thematic 715",44,3–5 Players,120 Min,2.31 / 5
89,html_files_games\_boardgame_10346_inchon-macarthurs-gambit.html,Age: 12+,,5,2 Players,120 Min,3.00 / 5
90,html_files_games\_boardgame_1035_squad-leader.html,Age: 14+,Rank: Overall 529 War 62,278,2 Players,60 Min,4.04 / 5
91,html_files_games\_boardgame_103649_city.html,Age: 10+,"Rank: Overall 1,818 Strategy 898 Family 486",47,2–5 Players,20 Min,1.56 / 5
92,html_files_games\_boardgame_103651_23.html,Age: 8+,"Rank: Overall 3,680 Family 926",3,2–4 Players,25 Min,1.23 / 5
93,html_files_games\_boardgame_103660_vivajava-coffee-game.html,Age: 13+,"Rank: Overall 1,727 Strategy 816",91,3–8 Players,90 Min,2.53 / 5
94,html_files_games\_boardgame_103666_o-vale-dos-monstros.html,Age: 14+,"Rank: Overall 6,018 Family 1,254",14,2–5 Players,60 Min,1.91 / 5
95,html_files_games\_boardgame_103670_dust-warfare-core-rulebook.html,Age: 14+,"Rank: Overall 4,325 War 730",80,2–4 Players,120 Min,3.39 / 5
96,html_files_games\_boardgame_103686_mundus-novus.html,Age: 14+,"Rank: Overall 1,588 Strategy 799 Family 416",45,2–6 Players,45–60 Min,2.19 / 5
97,html_files_games\_boardgame_1036_speculation.html,Age: 10+,"Rank: Overall 2,461 Strategy 1,067 Family 641",23,3–6 Players,45 Min,2.00 / 5
98,html_files_games\_boardgame_103752_schachen.html,Age: 6+,,5,2 Players,30 Min,2.22 / 5
99,html_files_games\_boardgame_10376_ring-fire-fourth-battle-kharkov-august-1943.html,Age: ––,"Rank: Overall 6,273 War 907",3,1–2 Players,240–600 Min,3.09 / 5
100,html_files_games\_boardgame_103783_frigiti.html,Age: 13+,,2,4–6 Players,40 Min,1.00 / 5
101,html_files_games\_boardgame_1037_deadlands-doomtown.html,Age: 10+,"Rank: Overall 1,902 Customizable 43",105,2–6 Players,45 Min,3.02 / 5
102,html_files_games\_boardgame_103814_streams.html,Age: 8+,"Rank: Overall 5,146",6,1–99 Players,10 Min,1.19 / 5
103,html_files_games\_boardgame_103830_morelli.html,Age: 8+,,11,2 Players,45 Min,3.50 / 5
104,html_files_games\_boardgame_10383_risk-godstorm.html,Age: 10+,"Rank: Overall 2,566 War 957 Thematic 539",108,2–5 Players,120 Min,2.68 / 5
105,html_files_games\_boardgame_103877_casa-grande.html,Age: 8+,"Rank: Overall 4,147 Abstract 183",8,2–4 Players,30–45 Min,2.12 / 5
106,html_files_games\_boardgame_103883_electronic-labyrinth.html,Age: 8+,,6,2–4 Players,45–60 Min,2.00 / 5
107,html_files_games\_boardgame_103885_star-wars-x-wing-miniatures-game.html,Age: 14+,Rank: Overall 73 War 35 Customizable 6,"3,255",2 Players,30–45 Min,2.48 / 5
108,html_files_games\_boardgame_103886_star-wars-card-game.html,Age: 10+,Rank: Overall 512 Customizable 33,748,2 Players,60 Min,2.95 / 5
109,html_files_games\_boardgame_1038_tantrix.html,Age: 8+,"Rank: Overall 2,357 Abstract 192",43,1–4 Players,30 Min,2.22 / 5
110,html_files_games\_boardgame_103975_ortus.html,Age: 12+,,24,2 Players,30 Min,3.00 / 5
111,html_files_games\_boardgame_103_titan.html,Age: 12+,Rank: Overall 861 War 264 Thematic 231,204,2–6 Players,30–240 Min,3.46 / 5
112,html_files_games\_boardgame_104006_village.html,Age: 12+,Rank: Overall 122 Strategy 100,681,2–4 Players,60–90 Min,3.07 / 5
113,html_files_games\_boardgame_104020_vanuatu.html,Age: 12+,Rank: Overall 729 Strategy 399,98,2–5 Players,90 Min,3.33 / 5
114,html_files_games\_boardgame_104063_lets-take-hike.html,Age: 5+,,12,2–5 Players,20–30 Min,1.35 / 5
115,html_files_games\_boardgame_104162_descent-journeys-dark-second-edition.html,Age: 14+,Rank: Overall 81 Thematic 27,"2,799",2–5 Players,120 Min,3.21 / 5
116,html_files_games\_boardgame_1041_san-marco.html,Age: 10+,Rank: Overall 576 Strategy 331,68,3–4 Players,90 Min,2.68 / 5
117,html_files_games\_boardgame_1042_dragons-gold.html,Age: 12+,"Rank: Overall 1,662 Family 461",44,3–6 Players,45 Min,1.69 / 5
118,html_files_games\_boardgame_10431_epic-armageddon.html,Age: 12+,"Rank: Overall 3,188 War 449",30,2–8 Players,120 Min,3.12 / 5
119,html_files_games\_boardgame_104340_meltdown-2020.html,Age: 8+,,6,1–5 Players,40 Min,1.82 / 5
120,html_files_games\_boardgame_104347_santiago-de-cuba.html,Age: 10+,Rank: Overall 834 Strategy 489 Family 196,117,2–4 Players,40–75 Min,2.16 / 5
121,html_files_games\_boardgame_104363_rex-final-days-empire.html,Age: 14+,Rank: Overall 656 Thematic 158 Strategy 393,317,3–6 Players,120–180 Min,3.26 / 5
122,html_files_games\_boardgame_104376_bonbons.html,Age: 7+,,5,2–6 Players,10–20 Min,1.14 / 5
123,html_files_games\_boardgame_104377_tschak.html,Age: 13+,"Rank: Overall 3,091 Family 819",22,2–4 Players,40 Min,1.57 / 5
124,html_files_games\_boardgame_10445_duel-masters-trading-card-game.html,Age: 10+,,20,2–4 Players,30 Min,1.94 / 5
125,html_files_games\_boardgame_104498_pirates-nassau.html,Age: 10+,"Rank: Overall 5,372",18,3–5 Players,90 Min,2.87 / 5
126,html_files_games\_boardgame_1044_gunslinger.html,Age: 12+,"Rank: Overall 1,691 Thematic 317 Strategy 845",89,2–7 Players,90 Min,3.26 / 5
127,html_files_games\_boardgame_104555_blue-lion.html,Age: 8+,,11,2 Players,15 Min,1.27 / 5
128,html_files_games\_boardgame_104573_spectaculum.html,Age: 8+,"Rank: Overall 3,241 Family 842",19,2–4 Players,30–45 Min,1.71 / 5
129,html_files_games\_boardgame_104575_steam-torpedo-first-contact.html,Age: 13+,"Rank: Overall 5,125",37,2 Players,40 Min,2.42 / 5
130,html_files_games\_boardgame_104581_panic-wall-street.html,Age: 8+,"Rank: Overall 1,387 Party 56",73,3–11 Players,30 Min,1.67 / 5
131,html_files_games\_boardgame_104627_feudalia.html,Age: 14+,"Rank: Overall 3,171",94,1–4 Players,90 Min,3.19 / 5
132,html_files_games\_boardgame_104640_robin-hood.html,Age: 14+,"Rank: Overall 4,183",15,3–5 Players,50 Min,1.47 / 5
133,html_files_games\_boardgame_104655_lemonade-stand.html,Age: 13+,"Rank: Overall 6,235",19,2–4 Players,15–20 Min,1.50 / 5
134,html_files_games\_boardgame_10467_renegade-legion-leviathan.html,Age: 10+,,17,2 Players,90 Min,3.09 / 5
135,html_files_games\_boardgame_104710_wiz-war-eighth-edition.html,Age: 14+,Rank: Overall 660 Thematic 162,303,2–4 Players,30–60 Min,2.30 / 5
136,html_files_games\_boardgame_104736_et-toque.html,Age: 8+,,2,3–6 Players,30 Min,1.50 / 5
137,html_files_games\_boardgame_104805_animal-upon-animal-small-and-yet-great.html,Age: 5+,"Rank: Overall 4,639",3,2 Players,15 Min,1.00 / 5
138,html_files_games\_boardgame_104955_antike-duellum.html,Age: 13+,"Rank: Overall 1,136 Strategy 592",56,2 Players,75 Min,2.89 / 5
139,html_files_games\_boardgame_10496_camelot-legends.html,Age: 10+,"Rank: Overall 3,567 Thematic 624",37,2–4 Players,60 Min,2.33 / 5
140,html_files_games\_boardgame_104994_city-tycoon.html,Age: 10+,"Rank: Overall 2,416 Strategy 1,065",28,2–5 Players,60–120 Min,2.81 / 5
141,html_files_games\_boardgame_104_extrablatt.html,Age: 14+,"Rank: Overall 3,611 Strategy 1,273",5,3–4 Players,90 Min,2.90 / 5
142,html_files_games\_boardgame_10501_canvas-eagles.html,Age: 12+,"Rank: Overall 3,664 War 398",33,2–20 Players,45 Min,2.42 / 5
143,html_files_games\_boardgame_105023_fleet-commander-nimitz.html,Age: ––,"Rank: Overall 5,027 War 863",58,1 Players,180 Min,2.58 / 5
144,html_files_games\_boardgame_105024_israeli-air-force-leader.html,Age: 12+,"Rank: Overall 6,077 War 914",32,1 Players,60 Min,2.20 / 5
145,html_files_games\_boardgame_105037_tournay.html,Age: 12+,Rank: Overall 859 Strategy 476,138,2–4 Players,30–60 Min,2.89 / 5
146,html_files_games\_boardgame_105134_risk-legacy.html,Age: 13+,Rank: Overall 265 Strategy 204,659,3–5 Players,60 Min,2.60 / 5
147,html_files_games\_boardgame_105187_mil-1049.html,Age: 12+,"Rank: Overall 2,767 Strategy 1,148",50,2–5 Players,60–120 Min,3.83 / 5
148,html_files_games\_boardgame_105199_space-mission.html,Age: 10+,"Rank: Overall 5,278 Family 1,183",14,2–5 Players,45 Min,1.83 / 5
149,html_files_games\_boardgame_10520_tyrus.html,Age: 12+,"Rank: Overall 6,020 Abstract 378",3,2 Players,30 Min,1.85 / 5
150,html_files_games\_boardgame_10523_victory-honor.html,Age: 12+,"Rank: Overall 4,716 Strategy 1,466",3,4 Players,30 Min,2.03 / 5
151,html_files_games\_boardgame_105265_battle-lits.html,Age: ––,,7,2 Players,20 Min,1.67 / 5
152,html_files_games\_boardgame_10527_gyges.html,Age: 8+,"Rank: Overall 3,810 Abstract 150",28,2 Players,15 Min,2.58 / 5
153,html_files_games\_boardgame_10534_napoleons-art-war-eylau-and-dresden.html,Age: 14+,,12,2 Players,240 Min,1.90 / 5
154,html_files_games\_boardgame_10547_betrayal-house-hill.html,Age: 12+,Rank: Overall 456 Thematic 171,"2,069",3–6 Players,60 Min,2.37 / 5
155,html_files_games\_boardgame_10550_big-boggle.html,Age: 8+,"Rank: Overall 1,733 Family 441",23,2–8 Players,10 Min,1.54 / 5
156,html_files_games\_boardgame_10551_pyramidos.html,Age: 6+,,0,2–4 Players,10 Min,1.44 / 5
157,html_files_games\_boardgame_105551_archipelago.html,Age: 14+,Rank: Overall 313 Strategy 208,467,2–5 Players,30–240 Min,3.74 / 5
158,html_files_games\_boardgame_105593_cheating-moth.html,Age: 7+,"Rank: Overall 1,954 Party 131",30,3–5 Players,30 Min,1.15 / 5
159,html_files_games\_boardgame_10559_why-did-chicken.html,Age: 12+,"Rank: Overall 5,048 Party 278",8,4–8 Players,30–60 Min,1.22 / 5
160,html_files_games\_boardgame_105624_poseidons-kingdom.html,Age: 10+,"Rank: Overall 2,111 Family 534",35,2–4 Players,60 Min,2.40 / 5
161,html_files_games\_boardgame_10564_mississippi-fortress.html,Age: ––,,10,2 Players,180 Min,2.82 / 5
162,html_files_games\_boardgame_10579_war-union.html,Age: 12+,"Rank: Overall 6,446 War 1,039",15,2 Players,360 Min,3.85 / 5
163,html_files_games\_boardgame_10581_summer-storm-battle-gettysburg.html,Age: 12+,,8,2 Players,480 Min,4.27 / 5
164,html_files_games\_boardgame_105864_cards.html,Age: 10+,,8,2–6 Players,30 Min,1.56 / 5
165,html_files_games\_boardgame_105_colossal-arena.html,Age: 8+,Rank: Overall 826 Strategy 515 Family 208,81,2–5 Players,60 Min,2.02 / 5
166,html_files_games\_boardgame_106113_manoeuvre-distant-lands.html,Age: 10+,"Rank: Overall 5,939 War 745",12,2 Players,60 Min,2.50 / 5
167,html_files_games\_boardgame_106174_di-renjie.html,Age: 10+,,15,2–6 Players,30 Min,1.75 / 5
168,html_files_games\_boardgame_106217_hawaii.html,Age: 13+,Rank: Overall 593 Strategy 345,135,2–5 Players,90 Min,2.91 / 5
169,html_files_games\_boardgame_10623_gringo.html,Age: 12+,"Rank: Overall 4,505 War 595",19,1–6 Players,180 Min,3.38 / 5
170,html_files_games\_boardgame_10630_memoir-44.html,Age: 8+,Rank: Overall 117 War 60,"1,656",2–8 Players,30–60 Min,2.28 / 5
171,html_files_games\_boardgame_10640_doom-boardgame.html,Age: 12+,Rank: Overall 887 Thematic 237,315,2–4 Players,180 Min,2.91 / 5
172,html_files_games\_boardgame_10641_barbarossa-army-group-south-1941.html,Age: 12+,"Rank: Overall 3,590 War 285",19,1–4 Players,240 Min,4.16 / 5
173,html_files_games\_boardgame_10642_barbarossa-army-group-north-1941.html,Age: 12+,"Rank: Overall 3,750 War 295",14,1–4 Players,300 Min,4.15 / 5
174,html_files_games\_boardgame_10653_pirates-spanish-main.html,Age: 10+,"Rank: Overall 3,524 Customizable 170",189,2–10 Players,30 Min,1.78 / 5
175,html_files_games\_boardgame_10659_hex-hex.html,Age: 12+,"Rank: Overall 5,484 Party 355",25,3–6 Players,30 Min,1.30 / 5
176,html_files_games\_boardgame_10660_micropul.html,Age: 9+,"Rank: Overall 2,359 Abstract 109",96,1–2 Players,30 Min,1.91 / 5
177,html_files_games\_boardgame_10662_victoria-cross.html,Age: 12+,"Rank: Overall 4,197 War 562",15,2 Players,120 Min,2.33 / 5
178,html_files_games\_boardgame_106662_power-grid-first-sparks.html,Age: 12+,Rank: Overall 969 Strategy 563,87,2–6 Players,60 Min,2.70 / 5
179,html_files_games\_boardgame_10668_panzer-grenadier-desert-rats.html,Age: 12+,"Rank: Overall 5,738 War 917",6,2 Players,150 Min,2.77 / 5
180,html_files_games\_boardgame_1066_zargos.html,Age: 12+,,8,2–6 Players,120 Min,2.73 / 5
181,html_files_games\_boardgame_10672_easy-come-easy-go.html,Age: 8+,,0,2–4 Players,30 Min,1.02 / 5
182,html_files_games\_boardgame_106753_ooga-booga.html,Age: 7+,"Rank: Overall 4,741 Party 287",9,3–6 Players,10 Min,1.03 / 5
183,html_files_games\_boardgame_10676_knight-hawks.html,Age: 12+,,10,2 Players,60 Min,2.56 / 5
184,html_files_games\_boardgame_10679_fearful-slaughter-battle-shiloh.html,Age: 12+,"Rank: Overall 4,913 War 572",9,1–2 Players,300 Min,3.96 / 5
185,html_files_games\_boardgame_10681_apples-apples-junior.html,Age: 9+,"Rank: Overall 5,470 Children's 186",7,4–10 Players,30 Min,1.15 / 5
186,html_files_games\_boardgame_10682_atlas-zeus.html,Age: 10+,"Rank: Overall 4,744 Strategy 1,499 Family 1,114",3,2 Players,30 Min,2.02 / 5
187,html_files_games\_boardgame_10683_seekrieg-5.html,Age: 12+,"Rank: Overall 6,304 War 844",10,2–10 Players,120 Min,4.33 / 5
188,html_files_games\_boardgame_106978_world-war-america-conquered.html,Age: 12+,"Rank: Overall 6,441 War 881",24,2 Players,240 Min,2.60 / 5
189,html_files_games\_boardgame_106999_coney-island.html,Age: 10+,"Rank: Overall 2,820 Strategy 1,164 Family 731",19,2–4 Players,60 Min,2.48 / 5
190,html_files_games\_boardgame_106_mystery-rummy-jack-ripper.html,Age: 10+,Rank: Overall 866 Strategy 508 Family 200,58,2–4 Players,45 Min,1.74 / 5
191,html_files_games\_boardgame_10707_hacker-deluxe-edition.html,Age: 10+,"Rank: Overall 5,246 Thematic 704",18,2–6 Players,60 Min,2.73 / 5
192,html_files_games\_boardgame_1070_shadows-forest.html,Age: 8+,"Rank: Overall 4,256 Children's 146 Family 1,074",64,2–8 Players,15 Min,1.11 / 5
193,html_files_games\_boardgame_107148_wings-glory-ww2-starter-set.html,Age: 8+,"Rank: Overall 3,458 War 575",67,2–4 Players,45 Min,2.62 / 5
194,html_files_games\_boardgame_107190_flash-duel-second-edition.html,Age: ––,"Rank: Overall 2,167 Strategy 1,019 Family 614",66,1–5 Players,5 Min,1.61 / 5
