,file_name,game_age,game_cat,game_fans,game_players,game_time,game_weight
6536,html_files_games\_boardgame_3818_alias.html,Age: 7+,,12,4–12 Players,60 Min,1.29 / 5
6537,html_files_games\_boardgame_38194_cheaty-mages.html,Age: 12+,"Rank: Overall 2,365 Family 697",42,3–6 Players,30 Min,1.58 / 5
6538,html_files_games\_boardgame_38195_herr-der-ziegen.html,Age: ––,,1,2–5 Players,40 Min,1.96 / 5
6539,html_files_games\_boardgame_38204_how-host-dungeon.html,Age: ––,,33,1 Players,60 Min,1.91 / 5
6540,html_files_games\_boardgame_38266_kriegbot.html,Age: ––,,5,2–6 Players,120 Min,2.71 / 5
6541,html_files_games\_boardgame_3826_unlur.html,Age: ––,,5,2 Players,20 Min,3.00 / 5
6542,html_files_games\_boardgame_38275_robotory.html,Age: 8+,"Rank: Overall 4,296 Abstract 230",15,2 Players,15 Min,1.74 / 5
6543,html_files_games\_boardgame_3828_locomotive-werks.html,Age: 12+,"Rank: Overall 2,904 Strategy 1,156",13,3–5 Players,120 Min,2.91 / 5
6544,html_files_games\_boardgame_382_heimlich-co.html,Age: 8+,"Rank: Overall 1,651 Family 463",52,2–7 Players,30 Min,1.49 / 5
6545,html_files_games\_boardgame_38309_gods-playground.html,Age: ––,"Rank: Overall 1,554 Strategy 712",52,3 Players,180 Min,3.64 / 5
6546,html_files_games\_boardgame_38318_start-player.html,Age: 14+,"Rank: Overall 2,902 Party 185",22,2–99 Players,1 Min,1.00 / 5
6547,html_files_games\_boardgame_38343_ad-astra.html,Age: 13+,Rank: Overall 995 Strategy 584,124,3–5 Players,60 Min,2.68 / 5
6548,html_files_games\_boardgame_38355_scene-it-star-trek.html,Age: 13+,,7,2 Players,30 Min,1.60 / 5
6549,html_files_games\_boardgame_38361_borodino-20.html,Age: ––,,3,2 Players,70 Min,2.00 / 5
6550,html_files_games\_boardgame_38364_days-steam.html,Age: 10+,"Rank: Overall 4,731 Strategy 1,525",14,2–4 Players,30–60 Min,2.00 / 5
6551,html_files_games\_boardgame_3836_legend-burning-sands.html,Age: 10+,"Rank: Overall 4,746 Customizable 68",33,2–6 Players,60 Min,2.67 / 5
6552,html_files_games\_boardgame_3837_rat-tat-cat.html,Age: 6+,"Rank: Overall 2,536 Children's 113 Family 763",27,2–6 Players,10 Min,1.12 / 5
6553,html_files_games\_boardgame_38386_castle-all-seasons.html,Age: 10+,"Rank: Overall 1,178 Strategy 658",71,2–4 Players,60 Min,2.79 / 5
6554,html_files_games\_boardgame_38387_los-banditos.html,Age: 8+,"Rank: Overall 4,450 Family 1,065",10,2 Players,15 Min,1.42 / 5
6555,html_files_games\_boardgame_38391_kakerlakensuppe.html,Age: 6+,"Rank: Overall 4,115 Party 254",6,2–6 Players,10–20 Min,1.19 / 5
6556,html_files_games\_boardgame_383_turf-horse-racing.html,Age: 10+,,3,3–6 Players,60 Min,1.67 / 5
6557,html_files_games\_boardgame_38400_war-edadh.html,Age: ––,,33,1–4 Players,30 Min,3.24 / 5
6558,html_files_games\_boardgame_38402_sidibaba.html,Age: 14+,"Rank: Overall 6,511 Family 1,346",22,3–7 Players,45 Min,2.12 / 5
6559,html_files_games\_boardgame_38429_cornerstone.html,Age: ––,"Rank: Overall 3,876",15,1–4 Players,45 Min,1.73 / 5
6560,html_files_games\_boardgame_38430_timber-tom.html,Age: ––,"Rank: Overall 3,776 Family 963",37,2–4 Players,60 Min,1.82 / 5
6561,html_files_games\_boardgame_38437_curli-kuller.html,Age: 5+,,2,2–4 Players,20 Min,1.00 / 5
6562,html_files_games\_boardgame_38453_space-alert.html,Age: 12+,Rank: Overall 176 Thematic 54,853,1–5 Players,30 Min,2.94 / 5
6563,html_files_games\_boardgame_38462_palago.html,Age: ––,,20,2 Players,15 Min,2.67 / 5
6564,html_files_games\_boardgame_38471_corps-command-dawns-early-light.html,Age: 12+,"Rank: Overall 4,728 War 619",39,2 Players,120–240 Min,2.17 / 5
6565,html_files_games\_boardgame_38499_22-pommes.html,Age: 10+,,4,2 Players,15 Min,1.35 / 5
6566,html_files_games\_boardgame_384_turfmaster.html,Age: 10+,"Rank: Overall 1,501 Thematic 268 Family 338",40,2–8 Players,75 Min,1.97 / 5
6567,html_files_games\_boardgame_38506_witch-salem.html,Age: 10+,"Rank: Overall 1,686 Thematic 356 Strategy 867",105,2–4 Players,60 Min,2.49 / 5
6568,html_files_games\_boardgame_3851_dune-ccg.html,Age: ––,"Rank: Overall 5,938 Customizable 138",53,2–8 Players,60 Min,3.48 / 5
6569,html_files_games\_boardgame_3852_star-trek-customizable-card-game-first-edition.html,Age: 10+,"Rank: Overall 4,605 Customizable 172",86,2 Players,45 Min,2.75 / 5
6570,html_files_games\_boardgame_38531_powerboats.html,Age: 9+,"Rank: Overall 1,457 Strategy 765 Family 370",46,2–6 Players,60 Min,1.69 / 5
6571,html_files_games\_boardgame_38545_kamisado.html,Age: ––,"Rank: Overall 1,194 Abstract 47",79,2 Players,20 Min,2.49 / 5
6572,html_files_games\_boardgame_38548_fast-flowing-forest-fellers.html,Age: 8+,"Rank: Overall 1,945 Family 533",27,2–5 Players,30 Min,1.53 / 5
6573,html_files_games\_boardgame_38553_duck-dealer.html,Age: 14+,"Rank: Overall 3,734 Strategy 1,322",21,2–5 Players,180–240 Min,3.76 / 5
6574,html_files_games\_boardgame_3855_crimson-skies.html,Age: 12+,"Rank: Overall 3,132 War 597 Thematic 487",51,2 Players,180 Min,2.93 / 5
6575,html_files_games\_boardgame_38562_song-arthur-and-merlin.html,Age: ––,,10,1–2 Players,45 Min,2.40 / 5
6576,html_files_games\_boardgame_38578_age-muskets-volume-i-tomb-empire.html,Age: ––,,11,2–6 Players,20–6000 Min,3.79 / 5
6577,html_files_games\_boardgame_3860_wordsearch.html,Age: 8+,,3,2–4 Players,45 Min,2.25 / 5
6578,html_files_games\_boardgame_3864_mechwarrior-dark-age.html,Age: 10+,"Rank: Overall 3,999 Customizable 123",45,2–10 Players,60 Min,2.70 / 5
6579,html_files_games\_boardgame_38657_cities.html,Age: 8+,"Rank: Overall 2,442 Family 668",30,1–4 Players,15–30 Min,1.66 / 5
